id_materia,categoria
13710,Computación y Software
13711,Ciencias Básicas (STEM)
13712,Ciencias Básicas (STEM)
13713,Ingeniería Aplicada
13714,Computación y Software
13715,Computación y Software
13719,Ciencias Básicas (STEM)
13716,Ciencias Básicas (STEM)
13717,Ingeniería Aplicada
13718,Computación y Software
13720,Computación y Software
13721,Ciencias Básicas (STEM)
13722,Ciencias Básicas (STEM)
13723,Ingeniería Aplicada
13724,Computación y Software
13740,Computación y Software
13741,Ciencias Básicas (STEM)
13742,Especialidad / Otra
13743,Especialidad / Otra
13744,Especialidad / Otra
14099,Computación y Software
13759,Ciencias Básicas (STEM)
14100,Especialidad / Otra
14101,Especialidad / Otra
14102,Especialidad / Otra
13754,Computación y Software
13755,Computación y Software
13756,Computación y Software
13757,Computación y Software
13758,Computación y Software
13760,Computación y Software
13761,Especialidad / Otra
13762,Computación y Software
13763,Economía y Administración
13764,Computación y Software
13780,Economía y Administración
13781,Especialidad / Otra
13778,Especialidad / Otra
13779,Especialidad / Otra
13775,Economía y Administración
13776,Formación General y Humanidades
13777,Formación General y Humanidades
13782,Especialidad / Otra
13783,Ciencias Básicas (STEM)
13784,Especialidad / Otra
13785,Computación y Software
13786,Ciencias Básicas (STEM)
13787,Especialidad / Otra
13788,Ciencias Básicas (STEM)
13789,Especialidad / Otra
13790,Computación y Software
13791,Ciencias Básicas (STEM)
13796,Especialidad / Otra
13798,Especialidad / Otra
13799,Ingeniería Aplicada
13802,Especialidad / Otra
13800,Ciencias Básicas (STEM)
13801,Ciencias Básicas (STEM)
13792,Especialidad / Otra
13793,Ingeniería Aplicada
13797,Especialidad / Otra
13794,Ciencias Básicas (STEM)
13795,Ciencias Básicas (STEM)
13833,Especialidad / Otra
13822,Ingeniería Aplicada
13823,Especialidad / Otra
13824,Especialidad / Otra
13825,Ingeniería Aplicada
13826,Ciencias Básicas (STEM)
13827,Ingeniería Aplicada
13828,Especialidad / Otra
13829,Especialidad / Otra
13830,Ingeniería Aplicada
13831,Ciencias Básicas (STEM)
13861,Ingeniería Aplicada
13862,Especialidad / Otra
13863,Especialidad / Otra
13864,Especialidad / Otra
13865,Economía y Administración
13876,Especialidad / Otra
13873,Especialidad / Otra
14123,Especialidad / Otra
13871,Ingeniería Aplicada
13872,Especialidad / Otra
13874,Especialidad / Otra
13875,Economía y Administración
13877,Ciencias Básicas (STEM)
13878,Ciencias Básicas (STEM)
13879,Computación y Software
13880,Computación y Software
13881,Ingeniería Aplicada
13882,Especialidad / Otra
13883,Especialidad / Otra
13884,Ingeniería Aplicada
13885,Computación y Software
13886,Ingeniería Aplicada
13887,Economía y Administración
13888,Especialidad / Otra
13889,Computación y Software
13890,Ingeniería Aplicada
13891,Formación General y Humanidades
13892,Economía y Administración
13893,Especialidad / Otra
13894,Computación y Software
13895,Ingeniería Aplicada
13896,Especialidad / Otra
13905,Computación y Software
13906,Especialidad / Otra
13902,Especialidad / Otra
13903,Especialidad / Otra
13904,Especialidad / Otra
13909,Ciencias Básicas (STEM)
13910,Economía y Administración
13911,Economía y Administración
13912,Computación y Software
13913,Especialidad / Otra
13914,Ciencias Básicas (STEM)
13915,Economía y Administración
13916,Economía y Administración
13917,Computación y Software
13918,Especialidad / Otra
13924,Ciencias Básicas (STEM)
13925,Economía y Administración
13926,Economía y Administración
13927,Computación y Software
13928,Especialidad / Otra
13939,Economía y Administración
13940,Ciencias Básicas (STEM)
13941,Especialidad / Otra
