id_materia,categoria
13710,Otra
13711,Matemáticas y Estadística
13712,Matemáticas y Estadística
13713,Electrónica y Control
13714,Otra
13715,Otra
13719,Matemáticas y Estadística
13716,Matemáticas y Estadística
13717,Electrónica y Control
13718,Otra
13720,Otra
13721,Matemáticas y Estadística
13722,Matemáticas y Estadística
13723,Electrónica y Control
13724,Otra
13740,Matemáticas y Estadística
13741,Otra
13742,Otra
13743,Otra
13744,Otra
14099,Matemáticas y Estadística
13759,Otra
14100,Otra
14101,Otra
14102,Otra
13754,Programación y Computación
13755,Programación y Computación
13756,Programación y Computación
13757,Automatización y Robótica
13758,Programación y Computación
13760,Programación y Computación
13761,Otra
13762,Otra
13763,Administración y Gestión
13764,Programación y Computación
13780,Administración y Gestión
13781,Programación y Computación
13778,Otra
13779,Otra
13775,Otra
13776,Otra
13777,Humanidades y Comunicación
13782,Otra
13783,Otra
13784,Otra
13785,Otra
13786,Matemáticas y Estadística
13787,Otra
13788,Otra
13789,Otra
13790,Otra
13791,Matemáticas y Estadística
13796,Otra
13798,Otra
13799,Programación y Computación
13802,Materiales y Procesos
13800,Física y Química
13801,Matemáticas y Estadística
13792,Otra
13793,Programación y Computación
13797,Materiales y Procesos
13794,Física y Química
13795,Matemáticas y Estadística
13833,Materiales y Procesos
13822,Ingeniería Mecánica
13823,Matemáticas y Estadística
13824,Otra
13825,Otra
13826,Matemáticas y Estadística
13827,Ingeniería Mecánica
13828,Matemáticas y Estadística
13829,Otra
13830,Otra
13831,Matemáticas y Estadística
13861,Ingeniería Mecánica
13862,Otra
13863,Diseño y Arquitectura
13864,Otra
13865,Administración y Gestión
13876,Diseño y Arquitectura
13873,Diseño y Arquitectura
14123,Diseño y Arquitectura
13871,Ingeniería Mecánica
13872,Otra
13874,Otra
13875,Administración y Gestión
13877,Matemáticas y Estadística
13878,Matemáticas y Estadística
13879,Otra
13880,Otra
13881,Electrónica y Control
13882,Otra
13883,Otra
13884,Electrónica y Control
13885,Programación y Computación
13886,Electrónica y Control
13887,Administración y Gestión
13888,Electrónica y Control
13889,Electrónica y Control
13890,Electrónica y Control
13891,Humanidades y Comunicación
13892,Administración y Gestión
13893,Humanidades y Comunicación
13894,Programación y Computación
13895,Electrónica y Control
13896,Electrónica y Control
13905,Programación y Computación
13906,Humanidades y Comunicación
13902,Administración y Gestión
13903,Administración y Gestión
13904,Otra
13909,Matemáticas y Estadística
13910,Administración y Gestión
13911,Administración y Gestión
13912,Otra
13913,Otra
13914,Matemáticas y Estadística
13915,Administración y Gestión
13916,Administración y Gestión
13917,Otra
13918,Otra
13924,Matemáticas y Estadística
13925,Administración y Gestión
13926,Administración y Gestión
13927,Otra
13928,Otra
13939,Administración y Gestión
13940,Administración y Gestión
13941,Economía y Finanzas
13942,Otra
13817,Otra
13943,Administración y Gestión
13944,Administración y Gestión
13945,Economía y Finanzas
13946,Otra
13947,Otra
13813,Otra
13953,Administración y Gestión
13814,Administración y Gestión
13815,Economía y Finanzas
13816,Otra
13954,Otra
13955,Administración y Gestión
13956,Administración y Gestión
13957,Economía y Finanzas
13958,Otra
14024,Otra
14025,Administración y Gestión
14026,Otra
14027,Administración y Gestión
14028,Otra
14029,Otra
14030,Administración y Gestión
14031,Otra
14032,Administración y Gestión
14033,Otra
14039,Administración y Gestión
14040,Otra
14041,Otra
14042,Administración y Gestión
14043,Administración y Gestión
