id_materia,id_periodo,id_carrera,id_grupo,materia
13710,61,2,2975,ESTRUCTURA DE DATOS
13711,61,2,2975,CÁLCULO DIFERENCIAL PARA INGENIERÍA
13712,61,2,2975,ÁLGEBRA LINEAL PARA INGENIERÍA
13713,61,2,2975,PRINCIPIOS DE ELECTRÓNICA ANALÓGICA
13714,61,2,2975,TEORÍA GENERAL DE SISTEMAS
13715,61,2,2976,ESTRUCTURA DE DATOS
13719,61,2,2976,CÁLCULO DIFERENCIAL PARA INGENIERÍA
13716,61,2,2976,ÁLGEBRA LINEAL PARA INGENIERÍA
13717,61,2,2976,PRINCIPIOS DE ELECTRÓNICA ANALÓGICA
13718,61,2,2976,TEORÍA GENERAL DE SISTEMAS
13720,61,2,2977,ESTRUCTURA DE DATOS
13721,61,2,2977,CÁLCULO DIFERENCIAL PARA INGENIERÍA
13722,61,2,2977,ÁLGEBRA LINEAL PARA INGENIERÍA
13723,61,2,2977,PRINCIPIOS DE ELECTRÓNICA ANALÓGICA
13724,61,2,2977,TEORÍA GENERAL DE SISTEMAS
13740,61,2,2981,ANÁLISIS DE ALGORITMOS
13741,61,2,2981,ECUACIONES DIFERENCIALES
13742,61,2,2981,LENGUAJE ENSAMBLADOR
13743,61,2,2981,CÓMPUTO RECONFIGURABLE
13744,61,2,2981,BASES DE DATOS
14099,61,2,2985,ANÁLISIS DE ALGORITMOS
13759,61,2,2985,ECUACIONES DIFERENCIALES
14100,61,2,2985,LENGUAJE ENSAMBLADOR
14101,61,2,2985,CÓMPUTO RECONFIGURABLE
14102,61,2,2985,BASES DE DATOS
13754,61,2,2984,DESARROLLO DE SOFTWARE ORIENTADO A OBJETOS
13755,61,2,2984,SISTEMAS OPERATIVOS
13756,61,2,2984,REDES DE COMPUTADORAS I
13757,61,2,2984,SISTEMAS EMBEBIDOS
13758,61,2,2984,PROGRAMACIÓN WEB II
13760,61,2,2986,DESARROLLO ÁGIL DE SOFTWARE
13761,61,2,2986,DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES
13762,61,2,2986,SISTEMAS DE CÓMPUTO PARALELO Y DISTRIBUIDO
13763,61,2,2986,MERCADOTECNIA
13764,61,2,2986,INTELIGENCIA ARTIFICIAL
